Year,Employment,Labor Force,Unemployment,Unemployment Rate,Area,Type
2009.0,71168.08333333333,75511.66666666667,4343.583333333333,5.758333333333333,"State College, PA",MSA
2010.0,72721.75,77134.25,4412.5,5.7250000000000005,"State College, PA",MSA
2011.0,73133.58333333333,77244.58333333333,4111.0,5.333333333333333,"State College, PA",MSA
2012.0,73322.16666666667,77472.08333333333,4149.916666666667,5.3500000000000005,"State College, PA",MSA
2013.0,73788.33333333333,77751.0,3962.6666666666665,5.108333333333333,"State College, PA",MSA
2014.0,74564.5,77940.16666666667,3375.6666666666665,4.333333333333333,"State College, PA",MSA
2015.0,75192.08333333333,78337.91666666667,3145.8333333333335,4.0,"State College, PA",MSA
2016.0,76162.91666666667,79425.08333333333,3262.1666666666665,4.125,"State College, PA",MSA
2017.0,76250.75,79210.5,2959.75,3.733333333333333,"State College, PA",MSA
2018.0,76966.33333333333,79653.0,2686.6666666666665,3.375,"State College, PA",MSA
2019.0,77278.5,80012.58333333333,2734.0833333333335,3.4250000000000003,"State College, PA",MSA
2020.0,71770.66666666667,76226.5,4455.833333333333,5.866666666666667,"State College, PA",MSA
2021.0,70447.5,73857.58333333333,3410.0833333333335,4.625,"State College, PA",MSA
1990.0,47849.666666666664,49659.0,1809.3333333333333,3.6333333333333333,"Staunton-Waynesboro, VA",MSA
1991.0,47627.333333333336,50573.416666666664,2946.0833333333335,5.825,"Staunton-Waynesboro, VA",MSA
1992.0,47609.583333333336,50799.583333333336,3190.0,6.283333333333334,"Staunton-Waynesboro, VA",MSA
1993.0,47555.083333333336,50099.583333333336,2544.5,5.083333333333333,"Staunton-Waynesboro, VA",MSA
1994.0,47454.666666666664,49976.666666666664,2522.0,5.041666666666667,"Staunton-Waynesboro, VA",MSA
1995.0,47655.333333333336,50405.333333333336,2750.0,5.441666666666666,"Staunton-Waynesboro, VA",MSA
1996.0,48156.333333333336,50233.416666666664,2077.0833333333335,4.125,"Staunton-Waynesboro, VA",MSA
1997.0,49721.166666666664,51286.5,1565.3333333333333,3.0583333333333336,"Staunton-Waynesboro, VA",MSA
